City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
126,Hobart,AU,63.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
127,Souillac,MU,74.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
129,Ballina,AU,78.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
130,Biak,ID,81.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
134,Salur,IN,71.35,overcast clouds,18.5333,83.2167,Pradeep
137,Namatanai,PG,83.97,light rain,-3.6667,152.4333,Seagulls Inn Namatani
138,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
139,Cayenne,GF,81.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
140,Cidreira,BR,64.53,overcast clouds,-30.1811,-50.2056,Hotel Castelo
143,Coalinga,US,72.77,broken clouds,36.1397,-120.3602,Royal Lodge Motel
145,Yulara,AU,74.28,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
146,Luz,BR,75.27,overcast clouds,-19.8014,-45.6856,Hotel Turista
149,Nhamunda,BR,75.04,moderate rain,-2.1861,-56.7131,Pousada Da Praia
150,Castro,BR,64.06,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
153,Talara,PE,64.63,few clouds,-4.5772,-81.2719,Hostal Oro Negro
155,Prainha,BR,80.2,broken clouds,-1.8,-53.48,Casa Rocha
156,Menongue,AO,67.69,overcast clouds,-14.6585,17.691,Ritz Lauca
157,San Cristobal,VE,66.85,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
158,Banes,CU,77.72,overcast clouds,20.9625,-75.7186,Hostal Iván y yailet
159,Taltal,CL,63.36,few clouds,-25.4,-70.4833,Residencial Karime
160,Pozo Colorado,PY,62.73,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
161,Kieta,PG,83.8,light rain,-6.2167,155.6333,Uruna Bay Retreat
162,Serowe,BW,77.18,broken clouds,-22.3833,26.7167,Hill View Inn
163,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
165,Eyl,SO,74.14,scattered clouds,7.9803,49.8164,Amiin Hotel
166,Najran,SA,61.3,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
169,Caravelas,BR,73.42,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
175,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
176,Bentiu,SS,78.13,scattered clouds,9.2333,29.8333,Mandela hôtel
177,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
178,Miraflores,MX,68.04,overcast clouds,19.2167,-98.8083,Hotel Mansión
179,Dunedin,NZ,62.28,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
180,Tahta,EG,72.05,clear sky,26.7693,31.5021,مصطفي عساف
184,Sola,VU,80.6,overcast clouds,-13.8833,167.55,Leumerus Bungalows
185,Bambous Virieux,MU,74.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
186,Kishi,NG,76.82,broken clouds,9.0833,3.85,New NCCF KISI
189,San Rafael Del Sur,NI,76.19,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
193,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
194,Arua,UG,63.23,clear sky,3.0201,30.9111,Golden Courts Hotel
195,Gat,IL,73.4,clear sky,31.61,34.7642,OlusHome
197,Panuco,MX,75.04,overcast clouds,22.05,-98.1667,Hotel Plaza
198,Benjamin Constant,BR,73.74,moderate rain,-4.3831,-70.0311,CASA AVALIADA
201,Silvassa,IN,77.07,overcast clouds,20.2667,73.0167,Wonderland Resort
203,Espanola,US,67.98,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
204,San Quintin,MX,67.73,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
206,Cuetzalan,MX,62.47,overcast clouds,20.0333,-97.5167,Hotel La Casa De Piedra
207,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
210,Alugan,PH,81.99,overcast clouds,12.2188,125.4808,JM Lodge
211,Camana,PE,65.97,broken clouds,-16.6228,-72.7111,Hostal Morales
212,Muisne,EC,75.31,overcast clouds,0.6,-80.0333,Quinta Samay
213,Lorengau,PG,83.91,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
214,Bairiki,KI,82.0,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
215,La Asuncion,VE,79.45,broken clouds,11.0333,-63.8628,Colinas de Matasiete
219,Layou,VC,78.03,broken clouds,13.2,-61.2667,Grace And Truth Campsite
221,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
222,Dalby,AU,77.99,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
225,Kaeo,NZ,68.52,few clouds,-35.1,173.7833,Bushido Lodge
